istasyon_no,istasyon_adi,hizmet_sekli,marka,sarj_agi_isletmecisi,sarj_istasyonu_isletmecisi,adres,soket_bilgileri
ŞRJ/1557,Xuma Village Otel Bodrum,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Merkez Mahallesi Küdür Caddesi  No:81 Bodrum / MUĞLA,
ŞRJ/1558,Yalıkavak Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yalıkavak Mahallesi İnönü Caddesi  No:82 Bodrum / MUĞLA,
ŞRJ/1562,Cocos The Club Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,2.çark Plajı Mahallesi 18000. Sokağı  No:8  2.çark Plajı Çeşme / İZMİR,
ŞRJ/1564,Dalyanköy Plaza Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Dalyan Mahallesi 4227. Sokağı  No:28  Dalyan Çeşme / İZMİR,
ŞRJ/1592,TP Ay-Pet Petrol Ankara,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Plevne Mahallesi  No:203  Beypazarı Sincan Yolu Sincan / ANKARA,
ŞRJ/1599,Bolu Bayzade Tesisleri Ankara Yönü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,"Bayzade Tesisleri, Ankara Yönü, Mahallesi  Yukarısoku Merkez / BOLU",
ŞRJ/1600,Bolu Bayzade Tesisleri İstanbul Yönü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Bolu Beyzade Tesisleri İstanbul Yönü Mahallesi  Yukarısoku Merkez / BOLU,
ŞRJ/1603,Elmalık Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Emlmalık Öyü E-5 Üzeri Mahallesi Ömertepe Köy Sokağı  No:99  Elmalık Mücavir Merkez / BOLU,
ŞRJ/1604,MC Sapanca Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kurtköy Mahallesi Değirmen 1 Sokağı  No:20 Sapanca / SAKARYA,
ŞRJ/1607,Chataeu Kalpak Şarköy,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gelibolu Yolu 7.km Mahallesi Şarköy / TEKİRDAĞ,
ŞRJ/1609,Ramada by Wyndham Tekirdağ,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Nusratlı Mahallesi  No:21 Süleymanpaşa / TEKİRDAĞ,
ŞRJ/1611,TP Şarköy Maraş Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İstiklal Mahallesi İstanbul Caddesi  No:3 Şarköy / TEKİRDAĞ,
ŞRJ/1613,Alibey Club Manavgat,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kızılağaç Mahallesi Meydan Alanı Caddesi  No:60 /A Manavgat / ANTALYA,
ŞRJ/1614,Alibey Resort Sorgun,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Acısu Mahallesi  No:26 /A  Side Acısu Manavgat / ANTALYA,
ŞRJ/1615,Antalya Aktürk Otomotiv,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yengöl Mahallesi  No:90  Havalimanı -lara Yolu Muratpaşa / ANTALYA,
ŞRJ/1616,Antamotion Otomotiv Bosch Araç Servisi Antalya,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Topçular Mahallesi 1015. Sokağı  No:9 Muratpaşa / ANTALYA,
ŞRJ/1620,Belazur Resort Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Boğazkent Mahallesi 31. Sokağı  No:8 Serik / ANTALYA,
ŞRJ/1621,Belek Beach Resort Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Boğazkent Mahallesi 40. Sokağı  No:6 Serik / ANTALYA,
ŞRJ/1622,Calyptus Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ilıca Mahallesi 60. Sokağı  No:54 /1 Manavgat / ANTALYA,
ŞRJ/1623,Castival Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ilıca Mahallesi  No:91 Manavgat / ANTALYA,
ŞRJ/1625,Deniz Feneri Lighthouse Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çukurbağ Mahallesi Beyhan Cenkci Caddesi  No:54 Kaş / ANTALYA,
ŞRJ/1627,IC Hotels Santai Family Resort,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Havalimanı Yolu Güzelyurt Mevkii Çalkaya Aksu Ic Aırport Otel Mahallesi  Havalimanı Yolu Güzelyurt Mevkii Çalkaya Aksu Ic Aırport Otel Aksu / ANTALYA,
ŞRJ/1630,Sidemarin Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ilıca Mahallesi 9. Sokağı  No:13 Manavgat / ANTALYA,
ŞRJ/1631,TBL Pal Garden Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kızılağaç Mahallesi  Kızılağaç Manavgat / ANTALYA,
ŞRJ/1632,True Blue Boutique Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kalkan Mahallesi Begonvil Sokağı  No:25 Kaş / ANTALYA,
ŞRJ/1633,TT HOTELS PEGASOS WORLD HOTEL,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sorgun Mahallesi  No:20  Acısu Manavgat / ANTALYA,
ŞRJ/1636,ABT Bosch Araç Servisi İstanbul,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İkitelli Osb Mahallesi  No:42 /E Başakşehir / İSTANBUL,
ŞRJ/1643,Mavi Ay Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Güvercinlik Mahallesi Asfalt Caddesi  No:157 Fatsa / ORDU,
ŞRJ/1668,Anpa Gross Kartal,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Orta Mahallesi Yalnız Selvi Caddesi  No:6 Kartal / İSTANBUL,
ŞRJ/1671,Hasan Usta Kebap,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Koşuyolu Mahallesi Dr.eyyüp Aksoy Caddesi  No:29 Kadıköy / İSTANBUL,
ŞRJ/1675,Optimal Bosch Araç Servisi İstanbul,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yalı Mahallesi Mareşal Fevzi Çakmak Caddesi  No:60 Maltepe / İSTANBUL,
ŞRJ/1676,Sancakpark AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İnönü Mahallesi Ankara Caddesi  No:47 Sancaktepe / İSTANBUL,
ŞRJ/1677,Sinpaş Kelebekia Sitesi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Abdurrahmangazi Mahallesi Ebubekir Caddesi Mersin Sokağı  No:27 Sancaktepe / İSTANBUL,
ŞRJ/1681,Demosan Otel Karaman,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yeşilada Mahallesi Mut Caddesi  No:107 Merkez / KARAMAN,
ŞRJ/1694,AKGÜL PETROL 1,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İstasyon Mahallesi Adnan Menderes Caddesi  No:72 Alaşehir / MANİSA,
ŞRJ/1695,AKGÜL PETROL 2,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İzmir Yolu Mahallesi  İzmir Yolu Üzeri 1.ci Kilometre Alaşehir / MANİSA,
ŞRJ/1698,AKHİSAR O320 İSTANBUL YÖNü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ballıca Mahallesi 16. Sokağı  No:16 Akhisar / MANİSA,
ŞRJ/1700,Anemon Otel Kula,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Atatürk Mahallesi Merkez Caddesi  No:317  Sandal Belediyesi Kula / MANİSA,
ŞRJ/1701,cihan petrol ahmetli,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Alahıdır Mahallesi  No:483 /A/2 Ahmetli / MANİSA,
ŞRJ/1702,Çözel Otomotiv Bosch Araç Servisi Manisa,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,2.anafartalar Mahallesi  No:36 /A Şehzadeler / MANİSA,
ŞRJ/1704,Hotel La Bella Alaşehir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yeni Mahallesi  No:376 Alaşehir / MANİSA,
ŞRJ/1705,Hotel La Bella Soma,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İnönü Mahallesi Bergama Caddesi  No:14 Soma / MANİSA,
ŞRJ/1706,Hotel Palm City Akhisar,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ulu Camii Mahallesi 374. Sokağı  No:82 Akhisar / MANİSA,
ŞRJ/1707,Manisa 45 Park AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Güzelyurt Mahallesi 5737. Sokağı  No:3 Yunusemre / MANİSA,
ŞRJ/1708,Manisa Zorpet,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,75.yıl Mahallesi 5305. Sokağı  No:3 Yunusemre / MANİSA,
ŞRJ/1710,Özdemir Petrol Manisa,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İstasyon Mahallesi  No:116  Manisa Akhisar Yolu Alaşehir / MANİSA,
ŞRJ/1711,Palmcity Hotel Turgutlu Manisa,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Subaşı Mahallesi  No:256 Turgutlu / MANİSA,
ŞRJ/1712,Ramada by Wyndham Soma,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kozanlı Mahallesi Bergama Caddesi Soma / MANİSA,
ŞRJ/1713,Salihli Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Durasalı Mahallesi 92. Sokağı  No:44 /1 Salihli / MANİSA,
ŞRJ/1714,Suresto Salihli,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yeşilyurt Mahallesi 797. Sokağı  No:51 /1 Salihli / MANİSA,
ŞRJ/1715,TP İmza Akaryakıt Manisa,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Güldede Mahallesi Gazi Caddesi  No:199 /A Ahmetli / MANİSA,
ŞRJ/1744,Aguasis De Luxe Resort Otel Didim,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çamlık Mahallesi Üç Mevsim Caddesi  No:77 /A Didim / AYDIN,
ŞRJ/1745,ALİ ALHAN ET LOKANTASI,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Erbeyli Mahallesi Asfalt Kenarı Caddesi  No:5 /1/1 İncirliova / AYDIN,
ŞRJ/1747,Cactus Fleur Beach Club Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Dimril Mahallesi Tilkicik Caddesi  No:81 Bodrum / MUĞLA,
ŞRJ/1748,Caresse Hotel Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Asarlık Mahallesi Adnan Menderes Caddesi  No:89  Asarlık Bodrum / MUĞLA,
ŞRJ/1749,Dalaman Dalyan Petrol Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gürköy Mahallesi Fethiye Çevreyolu Caddesi  Gürköy Dalaman / MUĞLA,
ŞRJ/1755,Liona Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gündoğan Mahallesi Kızıl Burun Caddesi  No:47 Bodrum / MUĞLA,
ŞRJ/1760,Şirin Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sümer Mahallesi  No:71 Merkezefendi / DENİZLİ,
ŞRJ/1761,TP Hüdaverdi Petrol Ortaca Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ekşiliyurt Mahallesi  No:402  Dalyan Yolu Üzeri  Ekşiliyurt Ortaca / MUĞLA,
ŞRJ/1768,FOLKART TİME BORNOVA,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kazımdirik Mahallesi Ankara Caddesi 284. Sokağı  No:2 /1 Bornova / İZMİR,
ŞRJ/1769,Gümüş Plaza,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çınar Mahallesi 5003. Sokağı  No:2 /2 Bornova / İZMİR,
ŞRJ/1780,Millenium Otomotiv,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sevgi Mahallesi 902. Sokağı  No:8 /1 Gaziemir / İZMİR,
ŞRJ/1781,Modern Sitesi 2,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ataşehir Mahallesi 8268. Sokağı  No:3 /A Çiğli / İZMİR,
ŞRJ/1782,Monza Motors İzmir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Afitbey Mahallesi Akçay Caddesi  No:283 Gaziemir / İZMİR,
ŞRJ/1783,Plaza Otel İzmir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Korutürk Mahallesi Mitatpaşa Caddesi  No:285 Balçova / İZMİR,
ŞRJ/1784,Soyak Sieasta,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İnönü Mahallesi 6660. Sokağı  No:2 Karşıyaka / İZMİR,
ŞRJ/1785,Sportsnmore AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karamandere Mahallesi 767. Sokağı  No:13 Güzelbahçe / İZMİR,
ŞRJ/1786,Tırak Bosch Araç Servisi İzmir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Balatçık Mahallesi Anadolu Caddesi 8789. Sokağı  No:1 Çiğli / İZMİR,
ŞRJ/1906,Anadolu Hisarı Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Göztepe Mahallesi Atatürk Caddesi  No:1 Beykoz / İSTANBUL,
ŞRJ/1908,Birsay Bosch Araç Servisi Libadiye,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Bulgurlu Mahallesi Libadiye Caddesi  No:4 /B Üsküdar / İSTANBUL,
ŞRJ/1909,Kartal Sahil Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kordonboyu Mahallesi Şahane Sokağı  No:3 Kartal / İSTANBUL,
ŞRJ/1911,Migros Ataşehir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Atatürk Mahallesi  No:7 Ataşehir / İSTANBUL,
ŞRJ/1912,Soyak Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ünalan Mahallesi Libadiye Caddesi Soyak Sit. Sokağı Ümraniye / İSTANBUL,
ŞRJ/1921,La Quinta By Wyndham İstanbul,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,15 Temmuz Mahallesi Bahar Caddesi  No:61 Bağcılar / İSTANBUL,
ŞRJ/1923,Çavuşoğlu Tower Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yarahmet Mahallesi  No:1 /A Merkez / TOKAT,
ŞRJ/1929,Modern Sitesi,Özel,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ataşehir Mahallesi 8001/1. Sokağı  No:1 Çiğli / İZMİR,
ŞRJ/1931,Otel Dündar,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Feritpaşa Mahallesi Kerkük Caddesi  No:34 Selçuklu / KONYA,
ŞRJ/1934,Mövenpick Otel Trabzon,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yalıncak Mahallesi Yalıncak Rize Caddesi  No:21 /E Ortahisar / TRABZON,
ŞRJ/1944,Altınsoy Dinlenme Tesisleri,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yavuz Selim Mahallesi  No:118  Sümrü Küme Evleri Merkez / AKSARAY,
ŞRJ/1946,Mutlu Oto Servis,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Horozluhan Mahallesi Ulus Sokağı  No:2 Selçuklu / KONYA,
ŞRJ/1948,Yeşil Beyaz Spor Merkezi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karaçigan Mahallesi Ali Ulvi Kurucu Caddesi  No:98 Karatay / KONYA,
ŞRJ/1956,Mudanya Üniversitesi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çağrışan Mahallesi 2029. Sokağı  No:2 Mudanya / BURSA,
ŞRJ/1959,Dream World Aqua,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ilıca Mahallesi  No:3 Manavgat / ANTALYA,
ŞRJ/1960,Dream World Hill,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ilıca Mahallesi 24. Sokağı  No:11 Manavgat / ANTALYA,
ŞRJ/1961,Dream World Palace,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çolaklı Mahallesi Turizm Caddesi  No:61 /1 Manavgat / ANTALYA,
ŞRJ/1963,Serenity Residence Alanya,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Güller Pınar Mahallesi Eşref Kahvecioğlu Caddesi  No:37 Alanya / ANTALYA,
ŞRJ/1965,Titanic Golf Club,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Üçkum Tepesi Mahallesi  Üçkum Tepesi Serik / ANTALYA,
ŞRJ/2168,Balıkesir Ayvalık Metro,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,150 Evler Mahallesi 29 Mayıs Caddesi  No:19 /E Ayvalık / BALIKESİR,
ŞRJ/2188,Mersin Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Hürriyet Mahallesi İsmet İnönü Caddesi  No:300 Yenişehir / MERSİN,
ŞRJ/2192,Kadoil Özek Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Halife Derviş Mahallesi Vanyolu Caddesi  No:56 /50 Merkez / HAKKARİ,
ŞRJ/2211,DOUBLE TREE BY HİLTON VAN,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İpekyolu Caddesi  No:8 İpekyolu / VAN,
ŞRJ/2214,Kral Bosch Araç Servisi Muş,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Saray Mahallesi Sanayi Sitesi Caddesi Merkez / MUŞ,
ŞRJ/2262,Aytemiz Özaydın Petrol Kars,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yenişehir Mahallesi İsmailaytemiz Bulv. Caddesi  No:158 Merkez / KARS,
ŞRJ/2412,Çayyolu Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Prof.dr Ahmet Taner Kışlalı Mahallesi 3035. Caddesi  No:179 Çankaya / ANKARA,
ŞRJ/2413,Eryaman Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Eryaman Mahallesi Samsun 19 Mayıs Caddesi  No:15 Etimesgut / ANKARA,
ŞRJ/2455,Akhisar O320 İzmir Yönü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ballıca Mahallesi Ballıca Sokağı  No:16 Akhisar / MANİSA,
ŞRJ/2456,Metro Market Samsun,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gazi Mahallesi Muhammet İkbal Caddesi  No:47 /38 Canik / SAMSUN,
ŞRJ/2553,Hiera Park Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karahayit Mahallesi 127 Kızılseki Sokağı  No:115 Pamukkale / DENİZLİ,
ŞRJ/2554,Köklü Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kocabaş Mahallesi  No:65 Honaz / DENİZLİ,
ŞRJ/2555,Ladik Termal,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karahayit Mahallesi 141 Sevgi Yolu Sokağı  No:29 Pamukkale / DENİZLİ,
ŞRJ/2556,Lycus River Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karahayit Mahallesi 108 Oteller Sokağı  No:3 Pamukkale / DENİZLİ,
ŞRJ/2558,Özmeda Enerji Denizli,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Beylerbeyi Mahallesi Beylerbeyi Sokağı  No:1 Sarayköy / DENİZLİ,
